000000,Unused
000100,Saber
000101,Brand
000102,Buster
000103,Pallasch
000104,Gladius
000105,DB's SABER
000106,KALADGOLG
000107,DURANDAL
000108,GALATINE
000200,Sword
000201,Gigush
000202,Breaker
000203,Claymore
000204,Calibur
000205,FLOWEN'S SWORD
000206,LAST SURVIVOR
000207,DRAGON SLAYER
000300,Dagger
000301,Knife
000302,Blade
000303,Edge
000304,Ripper
000305,BLADE DANCE
000306,BLOODY ART
000307,CROSS SCAR
000308,ZERO DIVIDE
000309,TWIN KAMUI
000400,Partisan
000401,Halbert
000402,Glaive
000403,Berdys
000404,Gungnir
000405,BRIONAC
000406,VJAYA
000407,GAE BOLG
000408,ASTERON BELT
000500,Slicer
000501,Spinner
000502,Cutter
000503,Sawcer
000504,Diska
000505,SLICER OF ASSASSIN
000506,DISKA OF LIBERATOR
000507,DISKA OF BRAVEMEN
000508,IZMAELA
000600,Handgun
000601,Autogun
000602,Lockgun
000603,Railgun
000604,Raygun
000605,VARISTA
000606,CUSTOM RAY Ver.00
000607,BRAVACE
000608,TENSION BLASTER
000700,Rifle
000701,Sniper
000702,Blaster
000703,Beam
000704,Laser
000705,VISK'235W
000706,WALS'MK2
000707,JUSTY'23ST
000708,RIANOV 303SNR
000709,RIANOV 303SNR-1
00070A,RIANOV 303SNR-2
00070B,RIANOV 303SNR-3
00070C,RIANOV 303SNR-4
00070D,RIANOV 303SNR-5
000800,Mechgun
000801,Assault
000802,Repeater
000803,Gatling
000804,Vulcan
000805,M&A60 VISE
000806,H&S25 JUSTICE
000807,L&K14 COMBAT
000900,Shot
000901,Spread
000902,Cannon
000903,Launcher
000904,Arms
000905,CRUSH BULLET
000906,METEOR SMASH
000907,FINAL IMPACT
000A00,Cane
000A01,Stick
000A02,Mace
000A03,Club
000A04,CLUB OF LACONIUM
000A05,MACE OF ADAMAN
000A06,CLUB OF ZUMIURAN
000A07,LOLIPOP
000B00,Rod
000B01,Pole
000B02,Pillar
000B03,Striker
000B04,BATTLE VERGE
000B05,BRAVE HAMMER
000B06,ALIVE AQHU
000B07,VALKYRIE
000C00,Wand
000C01,Staff
000C02,Baton
000C03,Scepter
000C04,FIRE SCEPTER:AGNI
000C05,ICE STAFF:DAGON
000C06,STORM VAND:INDRA
000C07,EARTH WAND BROWNIE
000D00,PHOTON CLAW
000D01,SILENCE CLAW
000D02,NEI'S CLAW
000D03,PHOENIX CLAW
000E00,DOUBLE SABER
000E01,STAG CUTLERY
000E02,TWIN BRAND
000F00,BRAVE KNUCKLE
000F01,ANGRY FIST
000F02,GOD HAND
000F03,SONIC KNUCKLE
001000,OROTIAGITO
001001,AGITO (1975)
001002,AGITO (1983)
001003,AGITO (2001)
001004,AGITO (1991)
001005,AGITO (1977)
001006,AGITO (1980)
001007,RAIKIRI
001100,SOUL EATER
001101,SOUL BANISH
001200,SPREAD NEEDLE
001300,HOLY RAY
001400,INFERNO BAZOOKA
001401,RAMBLING MAY
001402,L&K38 COMBAT
001500,FLAME VISIT
001501,BURNING VISIT
001600,AKIKO'S FRYING PAN
001700,SORCERER'S CANE
001800,S-BEAT'S BLADE
001900,P-ARMS'S BLADE
001A00,DELSABER'S BUSTER
001B00,BRINGER'S RIFLE
001C00,EGG BLASTER
001D00,PSYCHO WAND
001E00,HEAVEN PUNISHER
001F00,LAVIS CANNON
002000,VICTOR AXE
002001,LACONIUM AXE
002100,CHAIN SAWD
002200,CADUCEUS
002201,MERCURIUS ROD
002300,STING TIP
002400,MAGICAL PIECE
002500,TECHNICAL CROZIER
002600,SUPPRESSED GUN
002700,ANCIENT SABER
002800,HARISEN BATTLE FAN
002900,YAMIGARASU
002A00,AKIKO'S WOK
002B00,TOY HAMMER
002C00,ELYSION
002D00,RED SABER
002E00,METEOR CUDGEL
002F00,MONKEY KING BAR
002F01,BLACK KING BAR
003000,DOUBLE CANNON
003001,GIRASOLE
003100,HUGE BATTLE FAN
003200,TSUMIKIRI J-SWORD
003300,SEALED J-SWORD
003400,RED SWORD
003500,CRAZY TUNE
003600,TWIN CHAKRAM
003700,WOK OF AKIKO'S SHOP
003800,LAVIS BLADE
003900,RED DAGGER
003A00,MADAM'S PARASOL
003B00,MADAM'S UMBRELLA
003C00,IMPERIAL PICK
003D00,BERDYSH
003E00,RED PARTISAN
003F00,FLIGHT CUTTER
004000,FLIGHT FAN
004100,RED SLICER
004200,HANDGUN:GULD
004201,MASTER RAVEN
004300,HANDGUN:MILLA
004301,LAST SWAN
004400,RED HANDGUN
004500,FROZEN SHOOTER
004501,SNOW QUEEN
004600,ANTI ANDROID RIFLE
004700,ROCKET PUNCH
004800,SAMBA MARACAS
004900,TWIN PSYCHOGUN
004A00,DRILL LAUNCHER
004B00,GULD MILLA
004B01,DUAL BIRD
004C00,RED MECHGUN
004D00,BELRA CANNON
004E00,PANZER FAUST
004E01,IRON FAUST
004F00,SUMMIT MOON
005000,WINDMILL
005100,EVIL CURST
005200,FLOWER CANE
005300,HILDEBEAR'S CANE
005400,HILDEBLUE'S CANE
005500,RABBIT WAND
005600,PLANTAIN LEAF
005601,FATSIA
005700,DEMONIC FORK
005800,STRIKER OF CHAO
005900,BROOM
005A00,PROPHETS OF MOTAV
005B00,THE SIGH OF A GOD
005C00,TWINKLE STAR
005D00,PLANTAIN FAN
005E00,TWIN BLAZE
005F00,MARINA'S BAG
006000,DRAGON'S CLAW
006100,PANTHER'S CLAW
006200,S-RED'S BLADE
006300,PLANTAIN HUGE FAN
006400,CHAMELEON SCYTHE
006500,YASMINKOV 3000R
006600,ANO RIFLE
006700,BARANZ LAUNCHER
006800,BRANCH OF PAKUPAKU
006900,HEART OF POUMN
006A00,YASMINKOV 2000H
006B00,YASMINKOV 7000V
006C00,YASMINKOV 9000M
006D00,MASER BEAM
006D01,POWER MASER
006E00,Game Magazine
006E01,LOGiN
006F00,FLOWER BOUQUET
007000, SABER
007001, SABER
007002, SABER
007003, SABER
007004, SABER
007005, SABER
007006, SABER
007007, SABER
007008, SABER
007009, SABER
00700A, SABER
00700B, SABER
00700C, SABER
00700D, SABER
00700E, SABER
00700F, SABER
007010, SABER
007100, SWORD
007101, SWORD
007102, SWORD
007103, SWORD
007104, SWORD
007105, SWORD
007106, SWORD
007107, SWORD
007108, SWORD
007109, SWORD
00710A, SWORD
00710B, SWORD
00710C, SWORD
00710D, SWORD
00710E, SWORD
00710F, SWORD
007110, SWORD
007200, BLADE
007201, BLADE
007202, BLADE
007203, BLADE
007204, BLADE
007205, BLADE
007206, BLADE
007207, BLADE
007208, BLADE
007209, BLADE
00720A, BLADE
00720B, BLADE
00720C, BLADE
00720D, BLADE
00720E, BLADE
00720F, BLADE
007210, BLADE
007300, PARTISAN
007301, PARTISAN
007302, PARTISAN
007303, PARTISAN
007304, PARTISAN
